Date,Open,High,Low,Close,Adj Close,Volume
2019-04-03,283.559998,292.890015,283.559998,285.790009,282.474274,52400
2019-04-04,289.290009,294.709991,287.200012,294.670013,291.251312,43100
2019-04-05,292.500000,299.880005,292.000000,296.799988,293.356506,66100
2019-04-08,295.839996,297.100006,290.100006,291.220001,287.841309,47800
2019-04-09,290.549988,294.010010,289.989990,291.619995,288.236603,50400
2019-04-10,291.170013,299.000000,290.179993,294.700012,291.280945,60000
2019-04-11,295.399994,297.019989,292.420013,293.660004,290.252991,36100
2019-04-12,294.709991,296.000000,290.000000,290.510010,287.139587,37800
2019-04-15,290.510010,299.010010,290.510010,298.149994,294.690826,34300
2019-04-16,299.320007,302.000000,293.339996,295.670013,292.239685,39300
2019-04-17,296.250000,297.600006,289.000000,294.730011,291.310547,39600
2019-04-18,295.029999,302.709991,293.200012,302.089996,298.585205,34500
2019-04-22,302.149994,308.239990,301.779999,303.980011,300.453247,49300
2019-04-23,304.670013,310.000000,303.000000,309.390015,305.800568,40100
2019-04-24,309.309998,324.899994,306.390015,320.399994,316.682831,54000
2019-04-25,320.160004,334.690002,319.450012,332.500000,328.899017,50500
2019-04-26,334.000000,342.950012,328.850006,331.570007,327.979095,56500
2019-04-29,330.329987,339.450012,327.600006,328.000000,324.447754,42600
2019-04-30,328.290009,329.630005,321.899994,325.029999,321.509949,62100
2019-05-01,325.529999,331.609985,320.730011,328.209991,324.655487,70100
2019-05-02,328.529999,334.589996,322.070007,328.500000,324.942322,44100
2019-05-03,330.000000,336.709991,327.720001,333.899994,330.283783,73600
2019-05-06,329.130005,339.869995,321.299988,339.290009,335.615448,49500
2019-05-07,337.260010,346.309998,323.890015,339.589996,335.912170,108400
2019-05-08,331.109985,367.220001,328.209991,358.649994,354.765747,114000
2019-05-09,358.279999,371.450012,352.350006,369.529999,365.527954,83100
2019-05-10,369.880005,390.859985,369.880005,386.809998,382.620880,112000
2019-05-13,382.230011,404.250000,377.250000,399.859985,395.529480,103600
2019-05-14,402.179993,413.390015,363.950012,364.500000,360.552399,210700
2019-05-15,363.000000,363.000000,310.209991,326.220001,322.686981,248900
2019-05-16,325.510010,350.750000,316.799988,324.940002,321.420898,200400
2019-05-17,321.690002,338.000000,310.010010,313.049988,309.659698,230300
2019-05-20,312.000000,314.679993,294.799988,313.890015,310.490570,176900
2019-05-21,315.500000,323.380005,308.589996,310.549988,307.186768,122200
2019-05-22,311.790009,320.179993,306.130005,318.730011,315.278168,79300
2019-05-23,317.899994,319.029999,301.350006,304.399994,301.103302,123000
2019-05-24,306.359985,311.190002,303.459991,307.339996,304.011475,66400
2019-05-28,307.040009,314.000000,304.000000,305.660004,302.349731,89400
2019-05-29,305.000000,308.269989,297.920013,306.200012,302.883789,59300
2019-05-30,305.989990,312.859985,301.500000,311.730011,308.353943,63800
2019-05-31,309.619995,309.619995,300.299988,302.010010,298.739197,61400
2019-06-03,301.899994,304.010010,294.130005,298.459991,295.227600,75500
2019-06-04,299.000000,300.000000,291.230011,295.989990,292.784424,85500
2019-06-05,297.579987,312.000000,296.820007,308.790009,305.445770,83300
2019-06-06,309.880005,314.140015,309.820007,311.049988,307.681305,33700
2019-06-07,313.929993,317.470001,310.390015,310.529999,307.166931,40700
2019-06-10,310.799988,314.750000,308.000000,312.429993,309.046295,54200
2019-06-11,313.720001,324.000000,312.000000,317.589996,314.150543,56900
2019-06-12,317.589996,321.029999,310.470001,310.850006,307.483490,37000
2019-06-13,312.320007,318.369995,312.000000,314.130005,310.727936,35100
2019-06-14,314.899994,318.119995,303.579987,306.980011,303.655365,57300
2019-06-17,307.519989,313.000000,303.709991,310.339996,306.979034,59800
2019-06-18,312.380005,316.000000,303.079987,303.899994,300.608765,62100
2019-06-19,303.420013,305.000000,295.350006,299.799988,296.553131,82800
2019-06-20,300.299988,305.079987,297.000000,301.750000,298.482056,47000
2019-06-21,300.769989,302.459991,298.250000,302.420013,299.144806,53100
2019-06-24,302.609985,303.750000,296.000000,297.549988,294.327545,35400
2019-06-25,298.809998,304.600006,298.679993,300.109985,296.859772,36400
2019-06-26,301.480011,301.480011,292.339996,292.339996,289.173950,41500
2019-06-27,292.230011,302.290009,291.619995,301.929993,298.660065,56000
2019-06-28,300.929993,301.299988,297.619995,299.250000,296.009064,75000
2019-07-01,300.019989,311.390015,299.920013,311.130005,307.760498,44800
2019-07-02,311.489990,313.739990,308.119995,312.880005,309.491486,58800
2019-07-03,311.640015,316.510010,310.709991,315.000000,311.588562,25000
2019-07-05,315.000000,321.540009,308.179993,318.399994,314.951691,65600
2019-07-08,317.959991,319.010010,309.269989,310.489990,307.127380,63400
2019-07-09,314.869995,314.869995,305.670013,308.880005,305.534882,62400
2019-07-10,309.829987,317.200012,307.799988,311.619995,308.245178,107200
2019-07-11,311.929993,313.399994,304.019989,305.850006,302.537659,91700
2019-07-12,306.149994,306.279999,302.399994,304.649994,301.350647,54000
2019-07-15,304.720001,307.239990,303.369995,304.559998,301.261597,35600
2019-07-16,304.359985,305.220001,301.399994,302.940002,299.659119,24400
2019-07-17,303.239990,304.230011,299.570007,300.260010,297.008148,28200
2019-07-18,300.320007,303.000000,295.609985,297.200012,293.981293,32600
2019-07-19,295.670013,299.480011,290.760010,291.269989,288.115509,45800
2019-07-22,292.420013,296.399994,290.000000,292.859985,289.688324,41800
2019-07-23,294.040009,297.190002,288.040009,289.769989,286.631775,46600
2019-07-24,289.440002,290.519989,287.000000,290.279999,287.136230,35100
2019-07-25,290.410004,290.799988,288.350006,289.679993,286.789764,38500
2019-07-26,290.500000,296.000000,290.500000,293.000000,290.076599,64200
2019-07-29,293.079987,298.390015,290.089996,292.720001,289.799347,82900
2019-07-30,292.010010,296.989990,292.010010,294.450012,291.512146,66300
2019-07-31,294.480011,296.600006,290.010010,293.529999,290.601349,70000
2019-08-01,294.390015,296.209991,287.709991,288.329987,285.453186,85600
2019-08-02,287.429993,294.720001,283.459991,292.600006,289.680573,65200
2019-08-05,291.440002,291.440002,277.640015,280.279999,277.483551,90600
2019-08-06,281.950012,298.970001,281.950012,293.440002,290.512238,88200
2019-08-07,301.359985,360.000000,300.989990,324.790009,321.549408,368000
2019-08-08,326.100006,338.149994,323.600006,336.549988,333.192047,167300
2019-08-09,335.500000,338.920013,328.040009,333.760010,330.429901,66400
2019-08-12,333.730011,350.869995,332.660004,346.500000,343.042877,76500
2019-08-13,347.799988,356.119995,345.459991,352.130005,348.616638,59300
2019-08-14,346.160004,353.230011,343.390015,347.529999,344.062531,75500
2019-08-15,349.769989,360.910004,346.910004,356.929993,353.368713,63900
2019-08-16,357.140015,366.000000,355.179993,364.809998,361.170166,43600
2019-08-19,367.149994,382.510010,367.149994,368.910004,365.229187,112000
2019-08-20,369.040009,375.989990,363.119995,365.820007,362.170044,78400
2019-08-21,370.230011,371.130005,344.290009,349.600006,346.111877,104300
2019-08-22,349.149994,360.769989,342.980011,355.690002,352.141174,65900
2019-08-23,354.670013,358.500000,339.170013,339.170013,335.785980,64500
2019-08-26,341.709991,348.000000,337.609985,338.700012,335.320740,73100
2019-08-27,339.359985,343.950012,333.869995,339.820007,336.429443,84300
2019-08-28,340.500000,349.750000,339.529999,345.910004,342.458710,88800
2019-08-29,348.839996,352.279999,345.910004,346.600006,343.141846,56000
2019-08-30,348.899994,350.980011,334.140015,336.609985,333.251495,53600
2019-09-03,335.130005,341.209991,332.339996,333.709991,330.380402,57600
2019-09-04,335.630005,335.630005,311.440002,312.799988,309.679047,104100
2019-09-05,315.000000,316.730011,302.320007,305.829987,302.778595,80400
2019-09-06,306.470001,309.989990,295.329987,298.510010,295.531647,104200
2019-09-09,300.489990,300.489990,286.519989,292.450012,289.532166,124800
2019-09-10,291.739990,291.739990,282.260010,289.269989,286.383820,98500
2019-09-11,290.540009,298.000000,290.540009,294.630005,291.690369,69900
2019-09-12,296.049988,300.910004,295.640015,300.170013,297.175140,81500
2019-09-13,299.500000,301.890015,289.220001,290.959991,288.057007,61200
2019-09-16,289.239990,297.850006,285.750000,286.980011,284.116669,156200
2019-09-17,287.170013,289.399994,280.329987,286.059998,283.205872,121900
2019-09-18,294.350006,298.549988,285.000000,298.029999,295.056396,111200
2019-09-19,298.040009,314.489990,298.040009,301.380005,298.373016,99100
2019-09-20,300.399994,302.700012,292.040009,294.100006,291.165588,77300
2019-09-23,295.899994,301.950012,294.790009,294.869995,291.927948,42600
2019-09-24,297.579987,300.209991,292.529999,295.649994,292.700165,55600
2019-09-25,296.750000,299.470001,295.260010,296.709991,293.749542,42800
2019-09-26,296.510010,301.329987,296.160004,300.000000,297.006744,68600
2019-09-27,300.209991,305.429993,297.320007,301.160004,298.155243,59500
2019-09-30,301.269989,304.809998,298.230011,303.869995,300.838135,43100
2019-10-01,305.000000,305.980011,298.119995,302.230011,299.214569,39200
2019-10-02,300.200012,303.440002,292.010010,293.359985,290.432983,40200
2019-10-03,294.239990,297.299988,288.910004,293.420013,290.492401,50600
2019-10-04,294.500000,307.730011,294.470001,307.200012,304.135010,73200
2019-10-07,305.279999,305.279999,299.190002,301.809998,298.798676,38500
2019-10-08,300.850006,301.600006,294.179993,294.940002,291.997284,33500
2019-10-09,296.260010,296.470001,291.630005,294.829987,291.888367,25700
2019-10-10,294.829987,298.130005,291.809998,293.859985,290.928009,42300
2019-10-11,295.630005,297.130005,291.649994,292.399994,289.482635,30300
2019-10-14,292.600006,293.299988,285.549988,290.940002,288.037109,31500
2019-10-15,292.140015,294.450012,287.359985,287.829987,284.958191,43200
2019-10-16,287.920013,291.190002,285.000000,291.190002,288.284698,29300
2019-10-17,291.940002,295.299988,291.239990,291.890015,288.977753,33500
2019-10-18,292.049988,293.149994,287.010010,287.299988,284.433441,34700
2019-10-21,289.170013,294.130005,285.140015,290.649994,287.750092,64400
2019-10-22,290.809998,290.809998,279.480011,281.279999,278.473541,47300
2019-10-23,282.000000,282.000000,266.010010,271.190002,268.484161,86900
2019-10-24,272.679993,280.279999,270.269989,276.769989,274.261353,30700
2019-10-25,276.640015,280.000000,270.859985,272.079987,269.613892,29500
2019-10-28,273.350006,277.140015,271.109985,271.760010,269.296814,40400
2019-10-29,271.869995,275.160004,270.350006,271.160004,268.702209,30100
2019-10-30,270.829987,276.459991,269.000000,275.779999,273.280334,29500
2019-10-31,276.399994,276.399994,270.000000,274.359985,271.873230,35300
2019-11-01,273.630005,276.420013,270.619995,273.000000,270.525574,26800
2019-11-04,273.000000,274.649994,260.829987,262.100006,259.724335,44800
2019-11-05,262.790009,267.230011,256.500000,265.200012,262.796234,60100
2019-11-06,266.000000,276.250000,262.940002,266.700012,264.282623,128900
2019-11-07,268.489990,271.970001,261.920013,264.850006,262.449432,43000
2019-11-08,265.500000,273.200012,264.500000,272.149994,269.683258,54100
2019-11-11,272.690002,278.470001,269.079987,272.459991,269.990479,51300
2019-11-12,272.600006,277.500000,270.329987,276.100006,273.597443,45700
2019-11-13,275.350006,276.500000,269.820007,274.149994,271.665131,40200
2019-11-14,273.670013,277.989990,272.750000,275.309998,272.814606,32600
2019-11-15,276.279999,276.279999,271.489990,275.000000,272.507446,34000
2019-11-18,274.959991,277.329987,271.510010,272.750000,270.277832,35300
2019-11-19,273.049988,276.579987,272.660004,273.049988,270.575073,28400
2019-11-20,273.130005,277.000000,268.100006,270.910004,268.454529,43200
2019-11-21,271.079987,284.970001,270.000000,284.239990,281.663666,70300
2019-11-22,284.859985,284.950012,271.779999,271.779999,269.316589,55500
2019-11-25,271.279999,275.959991,271.279999,271.910004,269.445465,43300
2019-11-26,273.779999,276.130005,271.910004,273.540009,271.060608,30200
2019-11-27,273.899994,275.450012,272.049988,274.959991,272.467773,18200
2019-11-29,275.019989,275.019989,270.040009,270.160004,267.711273,11100
2019-12-02,270.000000,271.000000,262.899994,269.640015,267.196075,44300
2019-12-03,268.839996,271.799988,268.480011,270.029999,267.582489,28800
2019-12-04,270.709991,276.700012,270.709991,276.070007,273.567780,28100
2019-12-05,276.179993,278.000000,271.769989,273.910004,271.427277,30300
2019-12-06,276.690002,279.350006,272.440002,278.459991,275.936066,32300
2019-12-09,275.670013,281.929993,273.489990,274.299988,271.813782,27700
2019-12-10,273.839996,277.609985,272.950012,277.609985,275.093719,27400
2019-12-11,278.429993,279.839996,273.000000,273.859985,271.377747,33800
2019-12-12,273.359985,277.820007,271.850006,273.059998,270.585052,43800
2019-12-13,272.519989,278.510010,272.019989,277.019989,274.509125,26400
2019-12-16,277.040009,280.720001,273.470001,275.500000,273.002838,36000
2019-12-17,276.899994,279.500000,274.760010,278.100006,275.579315,25200
2019-12-18,278.179993,279.170013,273.880005,274.570007,272.081360,26100
2019-12-19,274.390015,275.500000,272.750000,272.839996,270.366974,42800
2019-12-20,274.220001,284.769989,274.200012,282.649994,280.088074,190100
2019-12-23,282.940002,285.989990,278.950012,284.799988,282.218597,31800
2019-12-24,284.559998,288.019989,282.000000,286.440002,283.843719,23900
2019-12-26,286.450012,295.000000,286.450012,292.640015,289.987549,90500
2019-12-27,293.149994,295.559998,291.299988,293.649994,290.988342,34600
2019-12-30,293.179993,293.179993,285.019989,289.000000,286.380524,35600
2019-12-31,288.579987,290.750000,283.130005,284.049988,281.475403,41900
2020-01-02,285.739990,286.290009,277.329987,282.399994,279.840393,42300
2020-01-03,279.769989,287.359985,277.480011,285.760010,283.169922,37500
2020-01-06,284.049988,286.500000,281.640015,282.010010,279.453888,29300
2020-01-07,281.320007,282.559998,275.380005,279.160004,276.629761,42400
2020-01-08,278.559998,281.700012,275.760010,277.260010,274.746979,24800
2020-01-09,278.100006,282.369995,276.000000,276.459991,273.954132,38500
2020-01-10,278.079987,278.079987,275.000000,275.019989,272.527222,36400
2020-01-13,276.000000,282.029999,276.000000,280.690002,278.145844,33500
2020-01-14,279.000000,281.600006,275.760010,277.429993,274.915405,36800
2020-01-15,277.429993,282.160004,277.049988,278.200012,275.678375,37400
2020-01-16,280.000000,286.500000,279.410004,286.350006,283.754547,46800
2020-01-17,286.980011,289.589996,278.510010,279.299988,276.768402,43800
2020-01-21,279.299988,281.500000,278.000000,280.790009,278.244965,23500
2020-01-22,280.790009,283.790009,279.989990,281.839996,279.285400,21400
2020-01-23,281.399994,282.799988,278.079987,278.079987,275.804108,26000
2020-01-24,279.070007,279.070007,272.649994,276.220001,273.959412,35900
2020-01-27,272.420013,280.000000,272.420013,276.429993,274.167633,45600
2020-01-28,277.279999,278.600006,275.010010,275.010010,272.759308,24600
2020-01-29,275.820007,276.700012,274.040009,274.040009,271.797180,50400
2020-01-30,272.899994,277.750000,272.899994,277.079987,274.812317,29300
2020-01-31,277.119995,277.809998,270.260010,270.809998,268.593628,32100
2020-02-03,272.230011,278.000000,272.230011,276.480011,274.217224,48000
2020-02-04,277.450012,280.250000,276.589996,277.690002,275.417358,37500
2020-02-05,279.000000,281.850006,272.630005,274.519989,272.273285,34100
2020-02-06,275.869995,277.890015,275.500000,276.799988,274.534637,29700
2020-02-07,275.500000,281.609985,275.500000,279.359985,277.073578,21300
2020-02-10,278.989990,281.880005,276.510010,280.100006,277.807648,24200
2020-02-11,280.100006,282.829987,278.500000,282.119995,279.811127,34000
2020-02-12,283.649994,283.649994,280.010010,280.980011,278.680420,23200
2020-02-13,279.690002,289.000000,279.500000,287.500000,285.147034,33300
2020-02-14,287.309998,292.000000,281.010010,281.010010,278.710205,37000
2020-02-18,280.959991,291.399994,276.820007,277.500000,275.228882,42500
2020-02-19,280.170013,282.000000,276.410004,276.579987,274.316376,29800
2020-02-20,276.070007,278.929993,273.000000,273.970001,271.727783,31800
2020-02-21,273.690002,275.489990,271.269989,273.679993,271.440186,24100
